"Taxon","Trait1","Trait2","Trait3","Trait4","Trait5"
"OCU_Oculina_robusta",-53.2238504498419,29.1276326698849,-33.3991748340528,38.4793347835134,-3.03857546000465
"OCU_Oculina_varicosa",-49.1277572155715,30.0151841113431,-31.8259450374178,38.8492774405313,-4.32602777444872
"OCU_Oculina_diffusa",-43.7208287232014,28.994741492685,-45.8672518074191,43.9951945223926,-14.1618645827968
"OCU_Oculina_patagonica",-47.3138374273865,25.5734782049374,-43.3910546910216,42.6648769553239,-9.42582514612045
"MUS_Blastomussa",-52.3684251651342,23.0328736456022,-20.1590417139453,16.8490756578104,9.60582466372854
"EUP_Physogyra_lichtensteini",-31.7014151478823,7.56793776626575,-19.8699788293548,28.0412727790307,6.26507776838439
"EUP_Plerogyra",-35.6497001509539,9.34791987816399,-20.6885085903922,25.0323393050462,6.57747093353667
"CAR_Tethocyathus",-14.7875935045203,18.4905356894947,1.10804146526677,54.3581440148432,0.534261954928601
"FAV_Plesiastrea_versipora",-34.8565927494694,8.37149355290251,-30.0000192249325,44.0016060811751,1.80218177754989
"OCU_Cyathelia_axillaris",-32.5274706032905,19.3814573235946,-3.56493187828605,47.710017641436,11.5264246281051
"CAR_Trochocyathus",-23.6502560525012,23.3277204988426,-0.746045304762243,45.8510879942612,9.11727249750791
"FAV_Diploastrea_heliopora",-42.2813610080516,48.8515745850179,-64.8704859150006,24.5636410337207,-21.4764708093852
"FAV_Montastraea_cavernosa",-28.544656579007,20.0127577191497,-8.26614777445142,27.904041188617,0.990255728732691
"MUS_Mussa_angulosa",-46.3306170134606,53.4767797720555,-58.3988880004084,31.9276447647998,3.251818040775
"MUS_Scolymia_cubensis",-30.7055122247688,36.1950562207508,-35.8920681898522,14.90720839886,1.57299042574054
"MUS_Isophyllia_sinuosa",-46.2709482822269,44.8378735492864,-41.7215841487049,19.5538828694669,7.67014314418697
"MUS_Mycetophyllia_danaana",-56.2139262051818,55.9268076480311,-50.6582912236419,6.62061033405473,4.56393737086537
"MUS_Mycetophyllia_aliciae",-49.2287320196407,51.0129259393228,-42.7158198234886,6.52607603662515,8.31314568420978
"MUS_Mycetophyllia_lamarckiana",-54.1427019329341,51.8880314395138,-42.3787851912583,5.4982809145874,12.8210303453927
"MUS_Mussismilia_harttii",-37.1209139864486,40.2680258385903,-47.8004547015217,28.4591718865949,3.05225289046758
"MUS_Mussismilia_braziliensis",-37.7825909746111,44.5295948374481,-51.8204623981754,31.373952795187,0.138353644694908
"MUS_Mussismilia_hispida",-30.5274796744858,46.1693850642437,-59.8863742429106,35.4857681388923,-7.12990769457834
"FAV_Favia_leptophylla",-29.0702468186987,47.2333796686699,-59.0199039989657,28.5577887808336,-5.24324284710659
"FAV_Favia_fragum",-36.4315400007509,52.5073275575207,-52.7798508337322,24.6237649950223,-1.94471668919858
"FAV_Diploria_labyrinthiformis",-41.9599223141019,44.0656566600617,-49.5442968141386,23.546139283733,-0.0107627869796172
"FAV_Diploria_clivosa",-37.5025973278026,45.0197799275182,-55.7778613846916,25.4727323423226,-5.09564718005277
"FAV_Diploria_strigosa",-39.9049891469767,45.0848927498891,-52.8894085375877,26.4530720379135,-2.43955993113211
"FAV_Manicina_areolata",-38.4740860521002,47.7499554961675,-55.8361671749348,25.6041912729907,-4.86835940484908
"FAV_Colpophyllia_natans",-41.68030636382,46.8469684444738,-56.7493967653403,24.6130876350951,-2.84320270011055
"MUS_Acanthastrea_hillae",-17.044488750811,42.4431673590633,-29.548458783909,27.9048284932237,-1.33497889221711
